,Street,DayOfWeek,City,Hour,Month,Temperature(F),Weather_Condition,Humidity(%),Visibility(mi),Precipitation(in),High_Risk_Prediction,High_Risk_Probability
7283166, Airport Way S,Tuesday,Seattle,12,10,47.0,Light Rain,83.0,4.0,0.03,1,0.85
1205242,I-5 S,Thursday,Lakewood,22,12,31.0,Fair,94.0,8.0,0.0,1,0.6
1996162,Norpoint Way NE,Sunday,Tacoma,23,8,71.0,Fair,51.0,10.0,0.0,1,0.54
2709778,I-405 N,Monday,Bellevue,17,7,88.0,Clear,23.0,10.0,0.007711515863689778,1,0.87
2964669,I-5 N,Wednesday,Seattle,13,3,46.0,Overcast,73.0,10.0,0.01,1,0.711
2083754,I-5 S,Thursday,Seattle,10,5,72.0,Fair,41.0,10.0,0.0,1,0.625
7707585,I-5 N,Wednesday,Seattle,15,7,68.0,Light Rain,84.0,9.0,0.02,1,0.73
3025712,I-5 N,Sunday,Arlington,23,2,34.0,Light Rain,92.0,10.0,0.0,1,0.75
5333296, Mt Baker Hwy,Monday,Bellingham,2,9,56.0,Fair,90.0,10.0,0.0,1,0.6876666666666666
311248,150th Ave SE,Thursday,Bellevue,16,10,54.0,Light Rain,93.0,6.0,0.01,1,0.8
4466465,I-405 N,Tuesday,Bellevue,17,11,45.0,Fair,82.0,10.0,0.0,1,0.53
2342889,I-5 S,Tuesday,Kent,14,1,43.0,Light Rain,89.0,3.0,0.09,1,0.72
2241148,I-5 S,Thursday,Everett,6,2,30.9,Clear,82.0,10.0,0.007711515863689778,1,0.8358333333333333
2237551,I-405 S,Friday,Seattle,21,3,54.0,Scattered Clouds,59.0,10.0,0.007711515863689778,1,0.69
7550318, State Route 20,Tuesday,Concrete,20,2,42.8,Overcast,76.0,10.0,0.007711515863689778,1,0.87
7551868, State Route 92,Sunday,Lake Stevens,21,3,39.2,Light Rain,93.0,10.0,0.01,1,0.835
2192824,I-405 N,Tuesday,Bothell,5,3,28.9,Clear,51.0,10.0,0.007711515863689778,1,0.8566666666666666
2738836,S 272nd St,Thursday,Kent,5,6,55.0,Overcast,74.0,10.0,0.007711515863689778,1,0.63
3629855,I-405 N,Tuesday,Renton,22,7,69.1,Haze,45.0,4.0,0.007711515863689778,1,0.86
6955360,I-5 N,Thursday,Seattle,20,4,52.0,Mostly Cloudy,69.0,10.0,0.0,1,0.64
1092959,I-5 N,Monday,Castle Rock,3,3,38.0,Cloudy,93.0,10.0,0.01,1,0.57
2682565,I-5 N,Sunday,Marysville,14,7,77.0,Clear,52.0,10.0,0.007711515863689778,1,0.98
6057165,I-5 N,Monday,Chehalis,15,10,52.0,Light Rain,100.0,2.0,0.0,1,0.6716666666666667
2253697,I-5 S,Monday,Marysville,11,2,24.1,Light Snow,84.0,9.0,0.0,1,0.6175
720067,Hewitt Ave,Saturday,Everett,15,1,46.0,Fair,66.0,10.0,0.0,1,0.83
736620,I-405 N,Saturday,Renton,17,1,44.0,Cloudy,89.0,4.0,0.0,1,0.55
5597250,Allen St,Wednesday,Kelso,10,9,59.0,Light Rain,90.0,10.0,0.15,1,0.57
308957,Banner Way NE,Tuesday,Seattle,2,10,48.0,Partly Cloudy,96.0,10.0,0.007711515863689778,1,0.54
313247,I-5 N,Thursday,Federal Way,16,7,64.9,Overcast,78.0,10.0,0.007711515863689778,1,0.68
4501290, State Highway 9,Saturday,Mount Vernon,13,8,75.0,Fair,100.0,8.0,0.0,1,0.528
2627213,I-405 S,Thursday,Bellevue,11,8,78.1,Clear,48.0,10.0,0.007711515863689778,1,0.97
2689263,I-5 S,Wednesday,Federal Way,5,7,59.0,Partly Cloudy,78.0,10.0,0.007711515863689778,1,0.78
1274533,I-5 N,Tuesday,Tacoma,10,11,48.0,Light Drizzle,96.0,6.0,0.08,1,0.71
4224407,I-5 S,Saturday,Lynnwood,17,8,67.0,Fair,54.0,10.0,0.0,1,0.51
2040730,I-5 N,Thursday,Tacoma,20,6,69.0,Mostly Cloudy,62.0,10.0,0.0,1,0.71
2594182,I-5 S,Monday,Everett,6,9,46.9,Partly Cloudy,93.0,9.0,0.007711515863689778,1,0.93
2016173,I-5 N,Thursday,Seattle,8,8,63.0,Cloudy,81.0,8.0,0.0,1,0.67
3264438,River Rd E,Sunday,Tacoma,12,10,50.5,Overcast,100.0,7.0,0.007711515863689778,1,0.76
308673,I-90 W,Thursday,Bellevue,21,1,44.1,Overcast,85.0,10.0,0.007711515863689778,1,0.82
873635,220th St SW,Sunday,Mountlake Terrace,14,9,56.0,Rain,93.0,3.0,0.19,1,0.85
7395582,I-405 N,Monday,Bellevue,15,2,33.1,Snow,92.0,0.5,0.13,1,0.8033333333333332
997446,I-5 S,Saturday,Rochester,2,6,48.0,Mostly Cloudy,100.0,9.0,0.0,1,0.67
2334075,I-5 S,Thursday,Tacoma,7,1,45.0,Scattered Clouds,74.0,10.0,0.0,1,0.74
5180150,I-405 N,Friday,Renton,17,1,44.0,Fair,60.0,10.0,0.0,1,0.736
599896,150th Ave SE,Monday,Bellevue,16,5,58.0,Cloudy,58.0,9.0,0.0,1,0.684
5196264, 28th Ave S,Tuesday,Federal Way,5,6,49.0,Rain,83.0,2.0,0.0,1,0.76
2745215,I-5 N,Monday,Everett,5,6,46.9,Mostly Cloudy,97.0,10.0,0.007711515863689778,1,0.8140000000000001
3555516,I-5 S,Sunday,Bellingham,8,2,30.0,Light Snow,96.0,1.0,0.0,1,0.8
6530684,I-5 N,Thursday,Seattle,1,11,42.0,Light Rain,79.0,8.0,0.0,1,0.5865238095238096
2241166,I-5 S,Thursday,Seattle,11,2,42.1,Clear,53.0,10.0,0.007711515863689778,1,0.585
2561117,I-5 S,Friday,Seattle,5,9,57.0,Mostly Cloudy,81.0,10.0,0.007711515863689778,1,0.7755555555555556
5369539,I-5 N,Monday,Lynnwood,22,8,61.0,Fair,83.0,10.0,0.0,1,0.58
395470,I-405 N,Thursday,Lynnwood,15,2,39.9,Clear,77.0,10.0,0.007711515863689778,1,0.825
310723,Madison St,Sunday,Seattle,14,9,73.9,Scattered Clouds,37.0,10.0,0.007711515863689778,1,0.74
5890651,I-5 N,Saturday,Seattle,20,4,51.0,Cloudy,77.0,10.0,0.0,1,0.5958333333333333
4386466, Redmond Fall City Rd NE,Sunday,Carnation,13,9,70.0,Fair,46.0,10.0,0.0,1,0.5332857142857143
1409856,I-5 S,Tuesday,Seattle,6,8,58.0,Mostly Cloudy,81.0,10.0,0.0,1,0.69
1220988,I-5 S,Monday,Bellingham,12,12,47.0,Mostly Cloudy,90.0,10.0,0.0,1,0.6566666666666667
7514859,I-90 E,Tuesday,Mercer Island,8,7,69.1,Clear,57.0,10.0,0.007711515863689778,1,0.6616666666666667
2741348,I-5 N,Friday,Tacoma,21,6,53.6,Overcast,100.0,10.0,0.007711515863689778,1,0.99
2615831,I-5 S,Friday,Seattle,15,8,66.9,Overcast,59.0,10.0,0.007711515863689778,1,0.685
1965767,I-5 S,Thursday,Tacoma,9,7,55.0,Cloudy,100.0,8.0,0.0,1,0.76
7488966,I-5 N,Wednesday,Chehalis,18,9,60.8,Overcast,77.0,10.0,0.007711515863689778,1,0.8
5342452,I-5 N,Thursday,Olympia,17,4,40.0,Heavy Rain,79.0,4.0,0.02,1,0.62
3553857,I-5 N,Thursday,Tacoma,17,1,45.0,Overcast,86.0,10.0,0.007711515863689778,1,0.8600000000000001
4335698,I-405 N,Monday,Kirkland,3,7,56.0,Cloudy,87.0,10.0,0.0,1,0.51
7596168, 11th Ave NW,Friday,Seattle,11,12,39.9,Mostly Cloudy,93.0,6.0,0.007711515863689778,1,0.6571428571428573
7003954,I-5 S,Monday,Seattle,23,6,64.0,Fair,45.0,10.0,0.0,1,0.7211825396825396
7585574,I-5 S,Thursday,Seattle,12,1,50.0,Light Rain,66.0,10.0,0.0,1,0.58
4536346,I-405 N,Wednesday,Bellevue,12,6,62.0,Cloudy,67.0,10.0,0.0,1,0.5866666666666667
2038343,State Route 2,Tuesday,Snohomish,22,6,68.0,Fair,59.0,10.0,0.0,1,0.78
490918,WA-520 W,Tuesday,Bellevue,9,6,59.0,Overcast,75.0,10.0,0.007711515863689778,1,0.6
1609215,E Roanoke St,Wednesday,Seattle,15,1,50.0,Cloudy,83.0,10.0,0.0,1,0.51
941314,I-5 S,Sunday,Seattle,12,8,75.0,Fair,57.0,10.0,0.0,1,0.5433333333333333
1250264,I-5 S,Thursday,Lakewood,16,11,45.0,Light Rain,81.0,10.0,0.0,1,0.61
1818870,I-5 N,Monday,Seattle,18,11,49.0,Light Rain,93.0,3.0,0.05,1,0.695
7397876,I-5 S,Thursday,Tacoma,5,2,32.5,Overcast,100.0,10.0,0.007711515863689778,1,0.94
7093385,Yesler Way,Saturday,Seattle,21,3,51.0,Light Rain,80.0,6.0,0.01,1,0.64
792478,Houser Way Byp,Saturday,Renton,16,11,52.0,Light Rain,97.0,2.0,0.03,1,0.67
7583779,I-5 N,Monday,Tacoma,7,1,37.4,Clear,100.0,2.0,0.007711515863689778,1,0.89
3531458,I-405 S,Friday,Kirkland,12,9,62.1,Haze,60.0,10.0,0.007711515863689778,1,0.7475
7563097,I-5 N,Friday,Seattle,12,3,55.9,Mostly Cloudy,67.0,10.0,0.007711515863689778,1,0.69
7690670,I-90 E,Tuesday,Bellevue,3,6,62.0,Cloudy,78.0,9.0,0.0,1,0.78
313061,I-5 N,Wednesday,Marysville,19,6,64.4,Clear,64.0,10.0,0.007711515863689778,1,0.72
2239077,I-5 N,Sunday,Federal Way,2,3,50.0,Clear,63.0,10.0,0.007711515863689778,1,0.93
527688,I-5 S,Monday,Lacey,23,8,62.0,Fair,80.0,10.0,0.0,1,0.64
3051901,I-405 N,Thursday,Renton,14,1,51.1,Mostly Cloudy,89.0,10.0,0.01,1,0.93
3639212,I-5 S,Tuesday,Seattle,12,7,69.1,Clear,47.0,10.0,0.007711515863689778,1,0.72
4914634,I-405 N,Friday,Renton,17,5,60.0,Fair,60.0,10.0,0.0,1,0.5633333333333334
5071765,I-90 W,Monday,Spokane,15,10,74.0,Fair,29.0,10.0,0.0,1,0.62
3120245,I-5 S,Thursday,Everett,17,12,41.0,Clear,76.0,10.0,0.007711515863689778,1,0.86
7549124,Veterans Memorial Fwy S,Thursday,Vancouver,8,4,64.0,Clear,56.0,10.0,0.007711515863689778,1,0.54
2926300,Rainier Ave S,Friday,Seattle,15,3,51.1,Mostly Cloudy,52.0,10.0,0.007711515863689778,1,0.6
4325260,I-5 N,Sunday,Burlington,14,6,61.0,Cloudy,68.0,10.0,0.0,1,0.65
5037368,I-5 S,Wednesday,Vancouver,6,5,49.0,Light Rain,83.0,5.0,0.08,1,0.53
3345737,I-5 N,Thursday,Seattle,9,8,75.2,Haze,57.0,5.0,0.007711515863689778,1,0.6291666666666668
1352625,I-405 N,Wednesday,Kirkland,18,10,57.0,Cloudy,74.0,10.0,0.0,1,0.65
7190404,I-5 N,Monday,Tacoma,6,1,42.0,Mostly Cloudy,100.0,10.0,0.0,1,0.76
3629237,I-5 S,Wednesday,Tacoma,11,6,61.5,Overcast,77.0,10.0,0.007711515863689778,1,0.83
2643810,Rainier Ave S,Friday,Renton,10,8,62.1,Haze,65.0,10.0,0.007711515863689778,1,0.5433333333333333
7485544,WA-525 S,Wednesday,Lynnwood,14,9,64.9,Clear,52.0,10.0,0.007711515863689778,1,0.78
4228268, State Road 14,Monday,Stevenson,7,6,72.0,Fair,55.0,10.0,0.0,1,0.95
436074,S 56th St,Saturday,Tacoma,14,4,56.8,Partly Cloudy,51.0,10.0,0.007711515863689778,1,0.83
4408741,Lake Easton Rd,Saturday,Easton,16,11,53.42461092745979,,73.0435668434273,9.03798932831721,0.007711515863689778,1,0.76
3093444,State Route 162 E,Sunday,Orting,20,12,39.2,Overcast,100.0,6.0,0.007711515863689778,1,0.51
5303759,Northup Way,Tuesday,Bellevue,13,1,48.0,Cloudy,74.0,10.0,0.0,1,0.5866666666666667
311142,S Boeing Access Rd,Tuesday,Seattle,10,10,51.1,Clear,71.0,10.0,0.007711515863689778,1,0.72
3157097,I-5 S,Friday,Seattle,14,11,37.0,Haze,73.0435668434273,5.0,0.007711515863689778,1,0.565
1415969,I-5 S,Sunday,Everett,18,8,86.0,Fair,41.0,10.0,0.0,1,0.6208333333333332
3925449,I-405 S,Friday,Renton,19,9,64.0,Partly Cloudy,63.0,10.0,0.0,1,0.5853333333333333
7535163,I-5 N,Friday,Seattle,20,5,63.0,Overcast,65.0,10.0,0.007711515863689778,1,0.7825
3627424,I-5 S,Monday,Federal Way,17,6,64.0,Overcast,58.0,10.0,0.007711515863689778,1,0.92
7523176,I-5 S,Monday,Mountlake Terrace,9,6,69.1,Clear,61.0,10.0,0.007711515863689778,1,0.69
2555722,I-5 N,Tuesday,Tacoma,23,9,60.4,Clear,69.0,10.0,0.007711515863689778,1,0.88
308709,WA-16,Saturday,Tacoma,7,1,37.4,Overcast,100.0,0.8,0.007711515863689778,1,0.57
3287577,I-5 N,Friday,Tacoma,22,9,63.3,Overcast,90.0,10.0,0.007711515863689778,1,0.9
3803133,I-405 S,Thursday,Bellevue,12,5,48.0,Light Rain,89.0,8.0,0.0,1,0.57
1811806,164th St SW,Thursday,Lynnwood,17,11,51.0,Cloudy,83.0,9.0,0.0,1,0.7
7335488,I-5 S,Monday,Chehalis,12,9,55.0,Fair,58.0,10.0,0.0,1,0.71
2673274,State Route 6,Monday,Chehalis,16,7,68.0,Scattered Clouds,46.0,10.0,0.007711515863689778,1,0.55
7515327, E Cedar St,Wednesday,Shelton,18,7,88.0,Clear,34.0,10.0,0.007711515863689778,1,0.8
453634,E Lynn St,Sunday,Seattle,7,5,48.9,Overcast,90.0,10.0,0.007711515863689778,1,0.52
2798490,NE 72nd Pl,Monday,Kirkland,17,5,68.0,Partly Cloudy,55.0,10.0,0.007711515863689778,1,0.81
313631,I-405 N,Sunday,Bothell,0,7,59.0,Clear,83.0,10.0,0.007711515863689778,1,0.81
7542836,S Kent des Moines Rd,Tuesday,Kent,1,4,53.1,Mostly Cloudy,66.0,10.0,0.007711515863689778,1,0.55
7644825,I-405 S,Thursday,Renton,16,8,87.1,Haze,43.0,3.0,0.007711515863689778,1,0.6276666666666667
2317767,I-205 S,Wednesday,Vancouver,21,1,43.0,Mostly Cloudy,82.0,10.0,0.0,1,0.5233333333333333
1640267,I-5 N,Friday,Marysville,18,2,42.0,Cloudy,85.0,10.0,0.0,1,0.615
6364503,I-5 N,Monday,Seattle,23,1,34.0,Mostly Cloudy,89.0,10.0,0.0,1,0.59
312446,I-5 S,Saturday,Seattle,5,9,55.0,Overcast,89.0,10.0,0.007711515863689778,1,0.835
7093356,I-90 E,Saturday,Bellevue,16,3,55.0,Light Rain,64.0,10.0,0.0,1,0.74
654049,S M St,Friday,Tacoma,19,4,50.0,Light Rain,64.0,10.0,0.0,1,0.511
7322207,I-5 S,Wednesday,Tacoma,6,11,45.0,Cloudy,90.0,5.0,0.0,1,0.55
396471,Interurban Ave S,Thursday,Seattle,21,3,48.9,Scattered Clouds,66.0,10.0,0.007711515863689778,1,0.64
5045060, State Route 28 W,Friday,Quincy,21,1,28.0,Fair,88.0,10.0,0.0,1,0.6427142857142856
512117,NE 44th St,Thursday,Renton,15,7,68.0,Mostly Cloudy,63.0,10.0,0.007711515863689778,1,0.88
3246429,I-90 E,Thursday,Mercer Island,5,10,53.1,Light Rain,93.0,10.0,0.03,1,0.775
491272,S Boeing Access Rd,Friday,Seattle,7,7,59.0,Clear,78.0,10.0,0.007711515863689778,1,0.8
3540105,I-5 S,Friday,Rochester,12,9,68.0,Scattered Clouds,60.0,10.0,0.007711515863689778,1,0.7925
5269634,I-405 N,Sunday,Renton,11,8,67.0,Fair,59.0,10.0,0.0,1,0.6743333333333336
396247,I-5 N,Thursday,Mountlake Terrace,8,3,43.0,Mostly Cloudy,76.0,10.0,0.007711515863689778,1,0.7616666666666666
3021690,I-5 N,Friday,Seattle,4,2,24.1,Clear,81.0,10.0,0.007711515863689778,1,0.84
4014486,I-5 N,Sunday,Everett,4,11,39.0,Rain,89.0,9.03798932831721,0.0,1,0.5186666666666667
7710261,I-5 S,Tuesday,Seattle,9,7,67.0,Cloudy,70.0,10.0,0.0,1,0.7536363636363635
1191367,I-5 S,Friday,Marysville,18,1,41.0,Fog,93.0,0.75,0.0,1,0.53
7469108,I-5 N,Friday,Seattle,8,10,50.0,Partly Cloudy,71.0,10.0,0.007711515863689778,1,0.76
7401991, Enchanted Pkwy S,Thursday,Federal Way,15,2,45.0,Scattered Clouds,48.0,10.0,0.007711515863689778,1,0.515
986887,96th St S,Monday,Lakewood,10,6,77.0,Fair,47.0,10.0,0.0,1,0.605
309972,I-5 S,Tuesday,Seattle,22,11,46.9,Rain,100.0,5.0,0.1,1,0.92
4188142,I-5 N,Sunday,Seattle,5,9,57.0,Fair,81.0,10.0,0.0,1,0.74
2904986,I-5 N,Friday,Kent,4,4,50.0,Overcast,89.0,1.0,0.007711515863689778,1,0.76
5970611,I-5 S,Monday,Lakewood,18,11,45.0,Cloudy,96.0,10.0,0.0,1,0.5925
1861408,I-405 N,Friday,Renton,13,9,66.0,Cloudy,65.0,10.0,0.0,1,0.7316666666666666
1085829,Lakeview Blvd E,Sunday,Seattle,11,4,46.0,Cloudy,61.0,10.0,0.0,1,0.57
1400347,E Roanoke St,Monday,Seattle,10,8,70.0,Mostly Cloudy,68.0,10.0,0.0,1,0.78
3556425,I-5 S,Thursday,Marysville,10,2,53.6,Overcast,72.0,9.0,0.02,1,0.55
4109067,I-405 S,Saturday,Bellevue,12,1,36.0,Light Rain,93.0,6.0,0.06,1,0.685
7639480,I-5 S,Friday,Seattle,10,9,61.0,Light Rain,90.0,10.0,0.0,1,0.623
7713024,I-5 S,Monday,Seattle,16,7,81.0,Fair,33.0,10.0,0.0,1,0.5066666666666666
745078,I-405 N,Monday,Renton,21,1,35.0,Wintry Mix,85.0,9.0,0.0,1,0.5966666666666667
5065217,I-5 N,Friday,Kent,4,1,46.0,Mostly Cloudy,86.0,10.0,0.0,1,0.695
7704829,I-5 S,Wednesday,Tacoma,13,7,64.0,Cloudy,88.0,10.0,0.0,1,0.77
511580,I-5 S,Friday,Chehalis,14,7,78.8,Clear,39.0,10.0,0.007711515863689778,1,0.94
4173204,I-90 W,Wednesday,Bellevue,17,12,45.0,Cloudy,82.0,10.0,0.0,1,0.615
3211768,Lake Washington Blvd NE,Tuesday,Kirkland,9,10,54.0,Clear,77.0,10.0,0.007711515863689778,1,0.68
436295,I-5 S,Monday,Seattle,21,4,52.0,Overcast,80.0,10.0,0.007711515863689778,1,0.8266666666666667
740869,I-90 E,Monday,Cle Elum,18,1,11.0,Fair,77.0,5.0,0.0,1,0.546
1665005,SE Everett Mall Way,Wednesday,Everett,18,1,46.0,Rain,89.0,3.0,0.16,1,0.63
310057,19th Ave SE,Thursday,Everett,17,11,44.1,Rain,96.0,4.0,0.1,1,0.545
7542404,I-5 N,Monday,Tacoma,12,4,57.4,Clear,68.0,10.0,0.007711515863689778,1,0.85
1427429,I-5 N,Tuesday,Ferndale,13,8,65.0,Partly Cloudy,73.0,10.0,0.0,1,0.6883333333333335
396479,NE 30th St,Friday,Renton,11,3,46.9,Overcast,80.0,10.0,0.007711515863689778,1,0.74
2439220,SE Coal Creek Pkwy,Sunday,Bellevue,10,11,41.0,Scattered Clouds,86.0,10.0,0.007711515863689778,1,0.91
2438506,I-5 N,Saturday,Marysville,17,11,36.0,Scattered Clouds,97.0,3.0,0.007711515863689778,1,0.77
7467073,I-5 S,Monday,Seattle,21,10,55.0,Light Rain,93.0,2.5,0.01,1,0.655
7336709,I-5 S,Tuesday,Olympia,8,10,31.0,Partly Cloudy,96.0,10.0,0.0,1,0.6
311603,I-5 N,Thursday,Arlington,18,8,78.8,Clear,42.0,10.0,0.007711515863689778,1,0.71
5539088,I-5 S,Sunday,Tacoma,23,3,43.0,Light Rain,87.0,10.0,0.0,1,0.6133333333333334
7669373, S Campbell Lake Rd,Monday,Anacortes,14,5,68.0,Fair,56.0,10.0,0.0,1,0.795
7547555,I-5 N,Sunday,Seattle,23,4,50.0,Clear,61.0,10.0,0.007711515863689778,1,0.7
7632466,I-5 S,Tuesday,Lynnwood,8,9,57.0,Fog,100.0,0.2,0.007711515863689778,1,0.6708333333333334
7501934,I-5 S,Wednesday,Lynnwood,6,8,62.1,Smoke,62.0,2.5,0.007711515863689778,1,0.73
886679,I-5 S,Thursday,Mountlake Terrace,19,9,56.0,Fair,64.0,10.0,0.0,1,0.805
7520183,I-5 S,Friday,Olympia,17,6,54.0,Overcast,90.0,4.0,0.07,1,0.77
1530539,I-5 S,Tuesday,Kalama,15,3,43.0,Light Rain,86.0,10.0,0.03,1,0.615
2030103,I-405 N,Friday,Bellevue,14,6,57.0,Cloudy,67.0,9.0,0.0,1,0.81
7040643,I-5 S,Monday,Seattle,16,6,66.0,Mostly Cloudy,54.0,10.0,0.0,1,0.75
335953,WA-99 S,Sunday,Seattle,0,2,41.0,Light Rain,86.0,10.0,0.06,1,0.62
4439626,I-5 S,Thursday,Toledo,15,2,41.0,Fair,57.0,10.0,0.0,1,0.525
6955337,I-5 S,Thursday,Tacoma,18,4,56.0,Mostly Cloudy,97.0,10.0,0.0,1,0.73
1863116,164th St SW,Sunday,Lynnwood,12,9,60.0,Rain,93.0,1.0,0.03,1,0.72
7500635,I-5 N,Saturday,Seattle,2,8,59.0,Clear,78.0,10.0,0.007711515863689778,1,0.88
956372,I-5 N,Tuesday,Woodland,10,7,68.0,Cloudy,59.0,10.0,0.0,1,0.8341666666666667
2386718,I-5 S,Thursday,Seattle,7,12,46.9,Light Rain,83.0,10.0,0.02,1,0.6
1799685,I-5 N,Saturday,Seattle,16,11,52.0,Light Rain,89.0,3.0,0.0,1,0.675
3139398,I-5 N,Sunday,Federal Way,19,12,30.9,Light Snow,89.0,5.0,0.0,1,0.7262619047619048
5017336,I-405 N,Thursday,Bellevue,12,10,66.0,Fair,60.0,10.0,0.0,1,0.52
7388597,WA-500 W,Thursday,Vancouver,15,1,48.9,Mostly Cloudy,54.0,10.0,0.007711515863689778,1,0.52
3064051,Mukilteo Speedway,Wednesday,Lynnwood,17,1,50.0,Light Rain,93.0,3.0,0.06,1,0.52
2964665,I-405 N,Wednesday,Bellevue,9,3,46.0,Mostly Cloudy,79.0,10.0,0.007711515863689778,1,0.83
3537605,I-405 S,Wednesday,Renton,2,8,66.9,Clear,66.0,10.0,0.007711515863689778,1,0.68
2016159,Stewart St,Thursday,Seattle,0,8,68.0,Mostly Cloudy,61.0,10.0,0.0,1,0.65
3543008,I-5 S,Wednesday,Rochester,16,6,73.4,Clear,61.0,10.0,0.007711515863689778,1,0.72
2268425,Issaquah Hobart Rd SE,Monday,Issaquah,15,2,33.1,Light Snow,92.0,1.2,0.1,1,0.5525
1000765,NE 99th St,Thursday,Vancouver,12,6,62.0,Cloudy,43.0,10.0,0.0,1,0.5533333333333333
6330173,Boren Ave,Thursday,Seattle,22,1,41.0,Light Rain,93.0,10.0,0.0,1,0.54
1931632,I-405 N,Thursday,Bellevue,15,8,78.0,Partly Cloudy,50.0,10.0,0.0,1,0.6733333333333335
335952,NE 44th St,Saturday,Renton,16,2,44.1,Light Rain,96.0,4.0,0.03,1,0.8075
3525877,I-90 W,Wednesday,Bellevue,19,11,54.0,Clear,97.0,10.0,0.007711515863689778,1,0.7233333333333333
3081465,S Dearborn St,Sunday,Seattle,10,1,48.9,Overcast,93.0,10.0,0.007711515863689778,1,0.66
3546415,I-5 S,Friday,Seattle,14,7,84.9,Clear,38.0,10.0,0.007711515863689778,1,0.7679999999999998
2774375,175th St,Tuesday,Seattle,12,6,64.0,Partly Cloudy,60.0,10.0,0.007711515863689778,1,0.73
647496,I-405 S,Thursday,Kirkland,18,4,71.0,Fair,28.0,10.0,0.0,1,0.66
4681349,I-5 S,Friday,Marysville,10,11,45.0,Light Rain,97.0,8.0,0.09,1,0.53
4500649,I-5 S,Tuesday,Seattle,10,1,41.0,Cloudy,76.0,10.0,0.0,1,0.65
2282914,I-5 N,Monday,Kent,5,2,37.0,Overcast,86.0,6.0,0.007711515863689778,1,0.83
874059,I-5 S,Saturday,Tacoma,0,9,51.0,Fair,96.0,10.0,0.0,1,0.72
7628756,I-405 N,Friday,Renton,13,9,75.9,Clear,46.0,10.0,0.007711515863689778,1,0.8243333333333333
3533193,I-5 N,Friday,Lynnwood,18,10,57.0,Clear,69.0,10.0,0.007711515863689778,1,0.62
3640352,I-90 E,Thursday,North Bend,17,7,69.1,Partly Cloudy,63.0,10.0,0.007711515863689778,1,0.83
800325,Lakeview Blvd E,Saturday,Seattle,2,11,43.0,Light Rain,93.0,9.0,0.0,1,0.61
308815,WA-167 S,Wednesday,Kent,20,1,42.1,Overcast,92.0,10.0,0.007711515863689778,1,0.52
7490018,I-5 N,Friday,Tacoma,11,9,63.5,Scattered Clouds,75.0,10.0,0.007711515863689778,1,0.92
2268388,State Highway 529,Monday,Marysville,4,2,23.0,Overcast,92.0,10.0,0.007711515863689778,1,0.67
848049,I-405 S,Friday,Bellevue,9,10,47.0,Light Rain,97.0,3.0,0.0,1,0.775
